Full    n(H)    Lambda0     Kappa0    Lambda1     Kappa1    Lambda2     Kappa2
        cm-3       um       cm2/g        um       cm2/g        um       cm2/g

 238    1e+07   1.17e+01   1.87e+03   1.17e+01   8.34e+03   1.17e+01   2.75e+03
 239    1e+07   1.26e+01   1.21e+03   1.26e+01   8.77e+03   1.26e+01   2.19e+03
 240    1e+07   1.36e+01   9.77e+02   1.36e+01   7.64e+03   1.36e+01   1.79e+03
 241    1e+07   1.47e+01   8.90e+02   1.47e+01   5.97e+03   1.47e+01   1.50e+03
 242    1e+07   1.59e+01   9.98e+02   1.59e+01   4.79e+03   1.59e+01   1.46e+03
 243    1e+07   1.71e+01   1.29e+03   1.71e+01   4.21e+03   1.71e+01   1.66e+03
 244    1e+07   1.85e+01   1.43e+03   1.85e+01   3.84e+03   1.85e+01   1.76e+03
 245    1e+07   2.00e+01   1.25e+03   2.00e+01   3.12e+03   2.00e+01   1.52e+03
 246    1e+07   2.15e+01   1.05e+03   2.15e+01   2.37e+03   2.15e+01   1.26e+03
 247    1e+07   2.51e+01   7.82e+02   2.51e+01   1.30e+03   2.51e+01   8.88e+02
 248    1e+07   2.93e+01   5.98e+02   2.93e+01   6.04e+02   2.93e+01   6.28e+02
 249    1e+07   3.42e+01   4.60e+02   3.42e+01   8.57e+02   3.42e+01   5.18e+02
 250    1e+07   3.69e+01   4.03e+02   3.69e+01   1.11e+03   3.69e+01   4.99e+02
 251    1e+07   3.98e+01   3.53e+02   3.98e+01   1.39e+03   3.98e+01   4.93e+02
 252    1e+07   4.30e+01   3.08e+02   4.30e+01   1.66e+03   4.30e+01   4.90e+02
 253    1e+07   4.64e+01   2.66e+02   4.64e+01   1.69e+03   4.64e+01   4.55e+02
 254    1e+07   5.41e+01   1.95e+02   5.41e+01   1.23e+03   5.41e+01   3.33e+02
 255    1e+07   6.31e+01   1.56e+02   6.31e+01   8.48e+02   6.31e+01   2.52e+02
 256    1e+07   7.36e+01   1.25e+02   7.36e+01   5.59e+02   7.36e+01   1.89e+02
 257    1e+07   8.58e+01   1.01e+02   8.58e+01   3.51e+02   8.58e+01   1.41e+02
 258    1e+07   1.00e+02   8.26e+01   1.00e+02   1.77e+02   1.00e+02   1.03e+02
 259    1e+07   1.17e+02   6.85e+01   1.17e+02   1.16e+02   1.17e+02   7.99e+01
 260    1e+07   1.36e+02   5.66e+01   1.36e+02   8.12e+01   1.36e+02   6.21e+01
 261    1e+07   1.58e+02   4.75e+01   1.58e+02   5.71e+01   1.58e+02   4.83e+01
 262    1e+07   1.85e+02   3.94e+01   1.85e+02   3.93e+01   1.85e+02   3.62e+01
 263    1e+07   2.26e+02   3.17e+01   2.26e+02   2.57e+01   2.26e+02   2.55e+01
 264    1e+07   3.50e+02   2.02e+01   3.50e+02   1.15e+01   3.50e+02   1.18e+01
 265    1e+07   5.00e+02   1.49e+01   5.00e+02   5.62e+00   5.00e+02   5.90e+00
 266    1e+07   7.00e+02   9.28e+00   7.00e+02   2.88e+00   7.00e+02   3.01e+00
 267    1e+07   1.00e+03   5.73e+00   1.00e+03   1.51e+00   1.00e+03   1.60e+00
 268    1e+07   1.30e+03   4.25e+00   1.30e+03   9.83e-01   1.30e+03   1.05e+00
 269    1e+08   1.00e+00   7.88e+03   1.00e+00   9.39e+03   1.00e+00   8.54e+03
 270    1e+08   1.17e+00   7.38e+03   1.17e+00   8.16e+03   1.17e+00   7.68e+03
 271    1e+08   1.36e+00   6.96e+03   1.36e+00   7.16e+03   1.36e+00   6.93e+03
 272    1e+08   1.59e+00   6.38e+03   1.59e+00   6.18e+03   1.59e+00   6.12e+03
 273    1e+08   1.85e+00   5.80e+03   1.85e+00   5.36e+03   1.85e+00   5.34e+03
 274    1e+08   2.15e+00   5.18e+03   2.15e+00   4.61e+03   2.15e+00   4.55e+03
